"pop2023","pop2020","growth","name","aland_sqmi","intptlat","intptlong","slug","usps","lng","lat","rank","density"
55414,59493,-0.0234,"Gilroy",16.537,37.0064,-121.585,"gilroy-ca","CA",-121.585,37.0064,159,3351
55393,57054,-0.0098,"Fountain Valley",9.071,33.7106,-117.951,"fountain-valley-ca","CA",-117.951,33.7106,160,6107
55326,60343,-0.02852,"Cupertino",11.311,37.3194,-122.045,"cupertino-ca","CA",-122.045,37.3194,161,4891
55008,54605,0.00246,"Yucaipa",28.293,34.0336,-117.043,"yucaipa-ca","CA",-117.043,34.0336,162,1944
54911,53975,0.00575,"Colton",15.542,34.0545,-117.325,"colton-ca","CA",-117.325,34.0545,163,3533
53649,53631,0.00011,"West Sacramento",21.47,38.5544,-121.549,"west-sacramento-ca","CA",-121.549,38.5544,164,2499
53530,51577,0.01246,"Cathedral City",22.485,33.8355,-116.463,"cathedral-city-ca","CA",-116.463,33.8355,165,2381
53083,56512,-0.02064,"Arcadia",10.925,34.1327,-118.036,"arcadia-ca","CA",-118.036,34.1327,166,4859
52797,51864,0.00596,"Delano",14.285,35.766,-119.264,"delano-ca","CA",-119.264,35.766,167,3696
52297,51167,0.0073,"Palm Desert",26.811,33.7376,-116.364,"palm-desert-ca","CA",-116.364,33.7376,168,1951
52275,49855,0.01592,"Lincoln",23.509,38.8784,-121.291,"lincoln-ca","CA",-121.291,38.8784,169,2224
52117,53006,-0.00563,"Novato",27.448,38.0851,-122.548,"novato-ca","CA",-122.548,38.0851,170,1899
51593,55026,-0.02125,"Diamond Bar",14.871,34.0016,-117.818,"diamond-bar-ca","CA",-117.818,34.0016,171,3469
51394,54806,-0.0212,"Huntington Park",3.013,33.9792,-118.217,"huntington-park-ca","CA",-118.217,33.9792,172,17057
51133,52173,-0.00668,"Aliso Viejo",6.919,33.5792,-117.729,"aliso-viejo-ca","CA",-117.729,33.5792,173,7390
50973,52623,-0.01056,"Watsonville",6.688,36.9196,-121.77,"watsonville-ca","CA",-121.77,36.9196,174,7622
50327,53631,-0.02097,"Paramount",4.729,33.8989,-118.167,"paramount-ca","CA",-118.167,33.8989,175,10642
50259,51789,-0.00995,"Placentia",6.614,33.8812,-117.855,"placentia-ca","CA",-117.855,33.8812,176,7599
49747,52505,-0.01783,"Glendora",19.509,34.145,-117.848,"glendora-ca","CA",-117.848,34.145,177,2550
49282,49282,0,"Ceres",9.356,37.5991,-120.968,"ceres-ca","CA",-120.968,37.5991,178,5267
49253,50266,-0.00676,"Cypress",6.613,33.8185,-118.038,"cypress-ca","CA",-118.038,33.8185,179,7448
48782,51246,-0.01629,"Covina",7.028,34.0905,-117.882,"covina-ca","CA",-117.882,34.0905,180,6941
48506,51138,-0.01746,"Rosemead",5.162,34.0689,-118.083,"rosemead-ca","CA",-118.083,34.0689,181,9397
48439,47104,0.00936,"San Luis Obispo",13.327,35.2635,-120.662,"san-luis-obispo-ca","CA",-120.662,35.2635,182,3635
48420,45419,0.02156,"Los Banos",9.993,37.0632,-120.84,"los-banos-ca","CA",-120.84,37.0632,183,4845
47645,47561,0.00059,"Brea",12.158,33.9252,-117.865,"brea-ca","CA",-117.865,33.9252,184,3919
47604,48835,-0.00848,"Poway",39.079,32.9877,-117.022,"poway-ca","CA",-117.022,32.9877,185,1218
46849,49616,-0.01895,"Azusa",9.667,34.1385,-117.912,"azusa-ca","CA",-117.912,34.1385,186,4846
46350,41918,0.03407,"Hollister",7.348,36.8563,-121.398,"hollister-ca","CA",-121.398,36.8563,187,6308
46342,48002,-0.01167,"Rancho Santa Margarita",12.895,33.6323,-117.599,"rancho-santa-margarita-ca","CA",-117.599,33.6323,188,3594
46295,48014,-0.01208,"Newark",13.875,37.5041,-122.032,"newark-ca","CA",-122.032,37.5041,189,3337
46280,49487,-0.02208,"Cerritos",8.722,33.8677,-118.069,"cerritos-ca","CA",-118.069,33.8677,190,5306
45912,44579,0.00988,"Palm Springs",94.545,33.8034,-116.538,"palm-springs-ca","CA",-116.538,33.8034,191,486
44927,45551,-0.00459,"Morgan Hill",12.996,37.1325,-121.642,"morgan-hill-ca","CA",-121.642,37.1325,192,3457
44728,47654,-0.0209,"La Mirada",7.822,33.902,-118.009,"la-mirada-ca","CA",-118.009,33.902,193,5718
44547,44343,0.00153,"Rohnert Park",7.003,38.3482,-122.699,"rohnert-park-ca","CA",-122.699,38.3482,194,6361
44353,43483,0.00663,"Oakley",15.863,37.9961,-121.694,"oakley-ca","CA",-121.694,37.9961,195,2796
43994,44240,-0.00186,"El Centro",11.509,32.7864,-115.558,"el-centro-ca","CA",-115.558,32.7864,196,3823
43582,42049,0.01201,"Coachella",30.076,33.6905,-116.143,"coachella-ca","CA",-116.143,33.6905,197,1449
42897,44310,-0.01075,"Lompoc",11.623,34.6627,-120.471,"lompoc-ca","CA",-120.471,34.6627,198,3691
42652,43537,-0.00682,"Danville",18.077,37.8121,-121.97,"danville-ca","CA",-121.97,37.8121,199,2359
40487,43935,-0.02687,"Campbell",6.074,37.2802,-121.953,"campbell-ca","CA",-121.953,37.2802,200,6666
39530,42207,-0.02161,"Rancho Palos Verdes",13.472,33.7531,-118.368,"rancho-palos-verdes-ca","CA",-118.368,33.7531,201,2934
39409,43785,-0.0345,"San Bruno",5.474,37.6254,-122.431,"san-bruno-ca","CA",-122.431,37.6254,202,7199
39257,37654,0.014,"La Quinta",35.259,33.6461,-116.275,"la-quinta-ca","CA",-116.275,33.6461,203,1113
38644,37858,0.00688,"Adelanto",52.905,34.5809,-117.439,"adelanto-ca","CA",-117.439,34.5809,204,730
38585,40681,-0.01747,"Culver City",5.111,34.0058,-118.397,"culver-city-ca","CA",-118.397,34.0058,205,7549
38496,38553,-0.00049,"Calexico",8.619,32.6849,-115.494,"calexico-ca","CA",-115.494,32.6849,206,4466
38345,37920,0.00372,"Montclair",5.515,34.0715,-117.698,"montclair-ca","CA",-117.698,34.0715,207,6953
38106,37902,0.00179,"Stanton",3.097,33.8003,-117.993,"stanton-ca","CA",-117.993,33.8003,208,12304
37739,36917,0.00737,"Wildomar",23.688,33.6173,-117.258,"wildomar-ca","CA",-117.258,33.6173,209,1593
37128,39465,-0.02014,"San Gabriel",4.145,34.0946,-118.098,"san-gabriel-ca","CA",-118.098,34.0946,210,8957
36906,39402,-0.02158,"Bell Gardens",2.459,33.9644,-118.154,"bell-gardens-ca","CA",-118.154,33.9644,211,15009
36712,37900,-0.01056,"Monrovia",13.634,34.164,-117.985,"monrovia-ca","CA",-117.985,34.164,212,2693
36180,37143,-0.00871,"Martinez",12.631,37.9981,-122.114,"martinez-ca","CA",-122.114,37.9981,213,2864
35838,38058,-0.01983,"La Puente",3.479,34.0323,-117.954,"la-puente-ca","CA",-117.954,34.0323,214,10301
35411,36260,-0.00787,"Moorpark",12.58,34.2859,-118.877,"moorpark-ca","CA",-118.877,34.2859,215,2815
34456,36435,-0.01843,"Temple City",4.004,34.1022,-118.058,"temple-city-ca","CA",-118.058,34.1022,216,8605
34445,36349,-0.01777,"Claremont",13.352,34.1249,-117.714,"claremont-ca","CA",-117.714,34.1249,217,2580
34443,35214,-0.00735,"San Juan Capistrano",14.431,33.5009,-117.654,"san-juan-capistrano-ca","CA",-117.654,33.5009,218,2387
34435,38507,-0.03657,"Pacifica",12.662,37.6066,-122.477,"pacifica-ca","CA",-122.477,37.6066,219,2720
33983,29121,0.05282,"Lathrop",19.826,37.8087,-121.318,"lathrop-ca","CA",-121.318,37.8087,220,1714
33817,34550,-0.00713,"Pleasant Hill",7.074,37.9542,-122.076,"pleasant-hill-ca","CA",-122.076,37.9542,221,4780
33448,35708,-0.02156,"West Hollywood",1.888,34.0883,-118.372,"west-hollywood-ca","CA",-118.372,34.0883,222,17716
33132,32510,0.00635,"Desert Hot Springs",30.222,33.9576,-116.542,"desert-hot-springs-ca","CA",-116.542,33.9576,223,1096
33126,35466,-0.02249,"Manhattan Beach",3.937,33.8896,-118.397,"manhattan-beach-ca","CA",-118.397,33.8896,224,8414
33003,32781,0.00225,"Goleta",7.851,34.4354,-119.859,"goleta-ca","CA",-119.859,34.4354,225,4204
32629,34805,-0.0213,"San Dimas",15.038,34.108,-117.809,"san-dimas-ca","CA",-117.809,34.108,226,2170
32337,31800,0.0056,"Atwater",6.092,37.3541,-120.599,"atwater-ca","CA",-120.599,37.3541,227,5308
32249,33111,-0.00876,"Dana Point",6.485,33.4755,-117.693,"dana-point-ca","CA",-117.693,33.4755,228,4973
32175,31553,0.00654,"El Paso de Robles Paso Robles",19.642,35.6279,-120.65,"el-paso-de-robles-paso-robles-ca","CA",-120.65,35.6279,229,1638
31847,29515,0.02567,"Banning",23.269,33.946,-116.899,"banning-ca","CA",-116.899,33.946,230,1369
31644,32308,-0.0069,"Seaside",9.24,36.6251,-121.818,"seaside-ca","CA",-121.818,36.6251,231,3425
31463,33537,-0.02106,"Bell",2.5,33.9797,-118.179,"bell-ca","CA",-118.179,33.9797,232,12585
31226,32050,-0.00864,"San Pablo",2.63,37.9629,-122.343,"san-pablo-ca","CA",-122.343,37.9629,233,11873
30944,30667,0.00301,"Santa Paula",4.54,34.3523,-119.069,"santa-paula-ca","CA",-119.069,34.3523,234,6816
30767,33461,-0.02759,"Los Gatos",11.391,37.233,-121.951,"los-gatos-ca","CA",-121.951,37.233,235,2701
30447,32646,-0.02298,"Beverly Hills",5.708,34.0792,-118.402,"beverly-hills-ca","CA",-118.402,34.0792,236,5334
30301,33685,-0.03466,"Foster City",3.796,37.5648,-122.251,"foster-city-ca","CA",-122.251,37.5648,237,7982
30259,31324,-0.01147,"Laguna Hills",6.604,33.5915,-117.699,"laguna-hills-ca","CA",-117.699,33.5915,238,4582
30229,33660,-0.0352,"Menlo Park",10.012,37.4797,-122.148,"menlo-park-ca","CA",-122.148,37.4797,239,3019
29853,31775,-0.02057,"Lawndale",1.974,33.8884,-118.353,"lawndale-ca","CA",-118.353,33.8884,240,15123
29650,29737,-0.00098,"Atascadero",26.064,35.4857,-120.688,"atascadero-ca","CA",-120.688,35.4857,241,1138
29545,30040,-0.00552,"Monterey",8.638,36.6012,-121.883,"monterey-ca","CA",-121.883,36.6012,242,3420
29535,27516,0.02389,"Wasco",9.388,35.5938,-119.367,"wasco-ca","CA",-119.367,35.5938,243,3146
29452,31313,-0.02023,"La Verne",8.433,34.1205,-117.77,"la-verne-ca","CA",-117.77,34.1205,244,3492
29018,31577,-0.02777,"Los Altos",6.481,37.3685,-122.097,"los-altos-ca","CA",-122.097,37.3685,245,4477
28671,29415,-0.00851,"Suisun City",4.061,38.2483,-122.01,"suisun-city-ca","CA",-122.01,38.2483,246,7060
28557,30801,-0.02489,"San Carlos",5.513,37.4955,-122.267,"san-carlos-ca","CA",-122.267,37.4955,247,5180
28476,27921,0.00657,"Ridgecrest",20.88,35.6285,-117.664,"ridgecrest-ca","CA",-117.664,35.6285,248,1364
28473,31045,-0.02842,"Saratoga",12.767,37.2684,-122.026,"saratoga-ca","CA",-122.026,37.2684,249,2230
27940,31251,-0.03665,"Burlingame",4.405,37.59,-122.363,"burlingame-ca","CA",-122.363,37.59,250,6343
27713,27035,0.0083,"Lemoore",8.814,36.2949,-119.798,"lemoore-ca","CA",-119.798,36.2949,251,3144
27491,27407,0.00102,"Twentynine Palms",58.757,34.1478,-116.066,"twentynine-palms-ca","CA",-116.066,34.1478,252,468
27004,27620,-0.0075,"Lemon Grove",3.879,32.7331,-117.034,"lemon-grove-ca","CA",-117.034,32.7331,253,6962
26897,26626,0.00339,"Sanger",5.762,36.699,-119.557,"sanger-ca","CA",-119.557,36.699,254,4668
26791,29933,-0.03629,"East Palo Alto",2.521,37.4678,-122.133,"east-palo-alto-ca","CA",-122.133,37.4678,255,10627
26762,26428,0.0042,"Brawley",8.118,32.9784,-115.529,"brawley-ca","CA",-115.529,32.9784,256,3297
26688,28419,-0.02073,"Walnut",8.992,34.0372,-117.856,"walnut-ca","CA",-117.856,34.0372,257,2968
26441,26513,-0.00091,"Eureka",9.384,40.7934,-124.155,"eureka-ca","CA",-124.155,40.7934,258,2818
26381,27041,-0.0082,"Benicia",12.839,38.0727,-122.155,"benicia-ca","CA",-122.155,38.0727,259,2055
26333,25950,0.00488,"Norco",13.832,33.9255,-117.552,"norco-ca","CA",-117.552,33.9255,260,1904
26223,26025,0.00252,"Hercules",6.41,38.0214,-122.289,"hercules-ca","CA",-122.289,38.0214,261,4091
26172,24638,0.02035,"Dinuba",6.512,36.5453,-119.399,"dinuba-ca","CA",-119.399,36.5453,262,4019
25807,26186,-0.00486,"Imperial Beach",4.3,32.5691,-117.115,"imperial-beach-ca","CA",-117.115,32.5691,263,6002
25631,24797,0.01108,"Loma Linda",7.657,34.0453,-117.25,"loma-linda-ca","CA",-117.25,34.0453,264,3347
25628,26247,-0.00794,"Windsor",7.27,38.5421,-122.809,"windsor-ca","CA",-122.809,38.5421,265,3525
25591,25973,-0.00494,"El Cerrito",3.657,37.9196,-122.303,"el-cerrito-ca","CA",-122.303,37.9196,266,6998
25488,25419,0.0009,"Barstow",41.275,34.867,-117.043,"barstow-ca","CA",-117.043,34.867,267,618
25431,25527,-0.00126,"Galt",6.804,38.2685,-121.299,"galt-ca","CA",-121.299,38.2685,268,3738
25362,28207,-0.03482,"Belmont",4.634,37.5144,-122.294,"belmont-ca","CA",-122.294,37.5144,269,5473
25306,25195,0.00146,"Reedley",5.447,36.5984,-119.447,"reedley-ca","CA",-119.447,36.5984,270,4646
25186,26897,-0.02167,"South Pasadena",3.407,34.109,-118.157,"south-pasadena-ca","CA",-118.157,34.109,271,7392
24855,25386,-0.00703,"Lafayette",15.045,37.891,-122.12,"lafayette-ca","CA",-122.12,37.891,272,1652
24844,24745,0.00133,"Soledad",4.481,36.4376,-121.315,"soledad-ca","CA",-121.315,36.4376,273,5544
24824,24854,-0.0004,"Riverbank",4.05,37.7256,-120.938,"riverbank-ca","CA",-120.938,37.7256,274,6129
24565,24655,-0.00122,"Selma",5.768,36.5715,-119.614,"selma-ca","CA",-119.614,36.5715,275,4259
24396,25212,-0.01091,"Seal Beach",11.275,33.7544,-118.071,"seal-beach-ca","CA",-118.071,33.7544,276,2164
23864,23780,0.00117,"Patterson",7.796,37.4759,-121.154,"patterson-ca","CA",-121.154,37.4759,277,3061
23529,25095,-0.02126,"Maywood",1.178,33.9885,-118.188,"maywood-ca","CA",-118.188,33.9885,278,19974
23333,23186,0.0021,"Oakdale",6.181,37.7619,-120.848,"oakdale-ca","CA",-120.848,37.7619,279,3775
23278,23953,-0.00949,"San Fernando",2.374,34.2887,-118.436,"san-fernando-ca","CA",-118.436,34.2887,280,9805
22796,22364,0.0064,"Marina",8.889,36.6803,-121.789,"marina-ca","CA",-121.789,36.6803,281,2565
22683,22461,0.00327,"Corcoran",7.373,36.0839,-119.561,"corcoran-ca","CA",-119.561,36.0839,282,3076
22332,23232,-0.01308,"Calabasas",13.682,34.134,-118.669,"calabasas-ca","CA",-118.669,34.134,283,1632
22326,23033,-0.01033,"Laguna Beach",8.892,33.5434,-117.762,"laguna-beach-ca","CA",-117.762,33.5434,284,2511
22253,20425,0.02899,"Imperial",6.236,32.839,-115.572,"imperial-ca","CA",-115.572,32.839,285,3568
21959,21752,0.00315,"Yucca Valley",39.831,34.1233,-116.422,"yucca-valley-ca","CA",-116.422,34.1233,286,551
21949,20070,0.03028,"Shafter",38.723,35.4794,-119.201,"shafter-ca","CA",-119.201,35.4794,287,567
21636,21304,0.00516,"South Lake Tahoe",10.154,38.9392,-119.982,"south-lake-tahoe-ca","CA",-119.982,38.9392,288,2131
21380,21880,-0.00766,"Port Hueneme",4.423,34.1621,-119.204,"port-hueneme-ca","CA",-119.204,34.1621,289,4834
21331,22792,-0.02183,"Cudahy",1.176,33.964,-118.183,"cudahy-ca","CA",-118.183,33.964,290,18139
21220,21800,-0.00897,"American Canyon",6.086,38.179,-122.26,"american-canyon-ca","CA",-122.26,38.179,291,3487
20666,23129,-0.03682,"Millbrae",3.251,37.599,-122.402,"millbrae-ca","CA",-122.402,37.599,292,6357
20460,21649,-0.01866,"Duarte",6.708,34.161,-117.95,"duarte-ca","CA",-117.95,34.161,293,3050
20015,19498,0.00877,"Arvin",4.819,35.1944,-118.831,"arvin-ca","CA",-118.831,35.1944,294,4153
19843,19918,-0.00126,"Oroville",13.834,39.4955,-121.56,"oroville-ca","CA",-121.56,39.4955,295,1434
19553,20015,-0.00776,"Coronado",7.973,32.6576,-117.157,"coronado-ca","CA",-117.157,32.6576,296,2452
19544,20885,-0.02187,"Lomita",1.912,33.7933,-118.317,"lomita-ca","CA",-118.317,33.7933,297,10222
19456,19657,-0.00343,"South El Monte",2.843,34.0504,-118.048,"south-el-monte-ca","CA",-118.048,34.0504,298,6843
19399,19525,-0.00216,"Orinda",12.853,37.8816,-122.169,"orinda-ca","CA",-122.169,37.8816,299,1509
19385,18821,0.0099,"Chowchilla",11.086,37.1161,-120.242,"chowchilla-ca","CA",-120.242,37.1161,300,1749
19259,20556,-0.02149,"La Canada Flintridge",8.626,34.2097,-118.2,"la-canada-flintridge-ca","CA",-118.2,34.2097,301,2233
19239,18995,0.00428,"Greenfield",2.136,36.3234,-121.245,"greenfield-ca","CA",-121.245,36.3234,302,9007
19174,19084,0.00157,"Arcata",9.368,40.8623,-124.075,"arcata-ca","CA",-124.075,40.8623,303,2047
19028,18947,0.00142,"Dixon",7.065,38.4475,-121.824,"dixon-ca","CA",-121.824,38.4475,304,2693
18979,20262,-0.02155,"Agoura Hills",7.801,34.1489,-118.764,"agoura-hills-ca","CA",-118.764,34.1489,305,2433
18546,19977,-0.02446,"Albany",1.789,37.8907,-122.318,"albany-ca","CA",-122.318,37.8907,306,10367
18528,18420,0.00195,"Arroyo Grande",5.937,35.1242,-120.585,"arroyo-grande-ca","CA",-120.585,35.1242,307,3121
18499,19735,-0.02132,"Hermosa Beach",1.426,33.8653,-118.396,"hermosa-beach-ca","CA",-118.396,33.8653,308,12973
18482,18993,-0.00906,"Pinole",5.104,38.0017,-122.318,"pinole-ca","CA",-122.318,38.0017,309,3621
17913,17733,0.00336,"Blythe",26.606,33.6536,-114.622,"blythe-ca","CA",-114.622,33.6536,310,673
17898,17013,0.01705,"Rancho Mirage",25.354,33.7643,-116.43,"rancho-mirage-ca","CA",-116.43,33.7643,311,706
17894,19083,-0.02122,"Santa Fe Springs",8.873,33.9336,-118.063,"santa-fe-springs-ca","CA",-118.063,33.9336,312,2017
17810,16856,0.01853,"Truckee",32.332,39.3505,-120.194,"truckee-ca","CA",-120.194,39.3505,313,551
17628,17384,0.00467,"Coalinga",6.581,36.1445,-120.358,"coalinga-ca","CA",-120.358,36.1445,314,2679
17146,16098,0.02126,"Ripon",5.325,37.742,-121.13,"ripon-ca","CA",-121.13,37.742,315,3220
17049,17657,-0.01159,"Laguna Woods",3.345,33.6121,-117.73,"laguna-woods-ca","CA",-117.73,33.6121,316,5097
17026,16654,0.0074,"Clearlake",10.129,38.96,-122.633,"clearlake-ca","CA",-122.633,38.96,317,1681
